,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Speed,Wind Speed,Temp (F)
0,kjollefjord,75.0,NO,1563336073,93.0,70.95,27.35,44.6,8.05,44.6
1,broken hill,40.0,AU,1563336073,58.0,-31.97,141.45,59.0,16.11,59.0
2,cape town,75.0,ZA,1563336073,87.0,-33.93,18.42,57.0,17.22,54.25
3,hermanus,93.0,ZA,1563336074,95.0,-34.42,19.24,54.0,1.01,50.32
4,atuona,27.0,PF,1563335543,77.0,-9.8,-139.03,80.6,13.98,80.6
6,cidreira,5.0,BR,1563336074,96.0,-30.17,-50.22,48.92,5.59,48.92
7,phan thiet,100.0,VN,1563336074,87.0,10.93,108.1,78.44,6.85,78.44
8,butaritari,100.0,KI,1563336075,61.0,3.07,172.79,83.84,4.88,83.84
9,cherskiy,100.0,RU,1563336075,60.0,68.75,161.3,46.04,8.23,46.04
10,avarua,18.0,CK,1563336075,64.0,-21.21,-159.78,73.4,14.99,73.4
11,punta arenas,20.0,CL,1563336000,86.0,-53.16,-70.91,33.8,6.93,33.4
13,taybad,0.0,IR,1563336076,11.0,34.74,60.78,86.36,15.7,86.36
15,port hardy,90.0,CA,1563335595,68.0,50.7,-127.42,64.4,8.05,64.4
16,rikitea,13.0,PF,1563336077,74.0,-23.12,-134.97,72.32,8.39,72.32
17,soyo,100.0,AO,1563336077,93.0,-6.13,12.37,71.06,8.72,71.06
18,tasiilaq,13.0,GL,1563336077,87.0,65.61,-37.64,44.6,4.7,44.6
20,auchi,88.0,NG,1563336078,99.0,7.07,6.27,70.16,3.42,70.16
21,aitape,11.0,PG,1563336078,65.0,-3.15,142.36,84.74,8.77,84.74
22,victoria,75.0,BN,1563335832,74.0,5.28,115.24,89.6,5.82,87.89
23,ribeira grande,0.0,PT,1563336078,70.0,38.52,-28.7,70.7,7.65,70.7
24,ilulissat,0.0,GL,1563336079,66.0,69.22,-51.1,48.2,4.7,48.2
25,nadadores,46.0,MX,1563336079,44.0,27.03,-101.59,84.56,11.39,84.56
26,petropavlovsk-kamchatskiy,20.0,RU,1563336079,64.0,53.05,158.65,75.2,13.42,75.2
27,busselton,0.0,AU,1563336079,46.0,-33.64,115.35,69.01,16.8,65.3
28,karratha,0.0,AU,1563335979,14.0,-20.74,116.85,76.1,25.08,76.1
29,vaini,75.0,IN,1563336080,88.0,15.34,74.49,73.4,6.93,73.4
30,marawi,96.0,PH,1563336080,62.0,8.0,124.29,84.99,3.0,84.99
31,chokurdakh,99.0,RU,1563336080,62.0,70.62,147.9,41.36,10.65,41.36
32,shingu,40.0,JP,1563336081,74.0,33.72,135.99,82.4,8.05,82.4
34,celestun,79.0,MX,1563336081,82.0,20.87,-90.4,83.12,21.9,83.12
35,tura,0.0,RU,1563335666,46.0,64.27,100.22,80.06,2.75,80.06
36,ushuaia,20.0,AR,1563336082,64.0,-54.81,-68.31,37.4,5.82,37.4
37,mataura,42.0,NZ,1563336082,89.0,-46.19,168.86,44.01,4.0,44.01
38,bathsheba,20.0,BB,1563335867,74.0,13.22,-59.52,80.6,18.34,80.6
39,pilar,0.0,AR,1563335681,70.0,-34.46,-58.91,53.6,9.17,50.11
40,neu wulmstorf,75.0,DE,1563336083,82.0,53.47,9.79,55.99,6.93,55.49
41,zeya,98.0,RU,1563336083,74.0,53.74,127.27,72.32,4.65,72.32
42,dikson,8.0,RU,1563336083,79.0,73.51,80.55,36.32,14.67,36.32
45,nalut,0.0,LY,1563336084,78.0,31.86,10.98,68.36,14.9,68.36
46,saint george,90.0,GR,1563336084,100.0,39.45,22.34,64.4,3.36,63.57
47,ponta do sol,40.0,BR,1563336084,92.0,-20.63,-46.0,56.66,2.24,56.66
48,berlevag,75.0,NO,1563336085,93.0,70.86,29.09,44.6,8.05,44.6
49,cabo san lucas,40.0,MX,1563335896,48.0,22.89,-109.91,84.0,11.41,80.02
50,dunedin,0.0,NZ,1563335455,59.0,-45.87,170.5,48.99,15.01,48.99
51,khandyga,100.0,RU,1563335655,47.0,62.65,135.58,75.02,6.67,75.02
52,vila franca do campo,20.0,PT,1563336086,87.0,37.72,-25.43,60.8,3.36,60.8
53,laguna,40.0,BZ,1563336086,88.0,16.17,-88.94,80.6,4.7,80.6
54,port elizabeth,40.0,US,1563336086,83.0,39.31,-74.98,81.0,3.36,78.87
55,tevriz,26.0,RU,1563336086,93.0,57.51,72.4,70.16,6.51,70.16
56,hilo,90.0,US,1563335805,78.0,19.71,-155.08,80.01,15.97,76.28
57,port augusta,90.0,AU,1563335971,62.0,-32.49,137.76,57.2,12.75,56.64
58,sayyan,11.0,YE,1563336087,62.0,15.17,44.32,73.58,2.06,73.58
59,hobart,75.0,AU,1563335560,50.0,-42.88,147.33,55.99,12.75,52.7
60,zhangye,100.0,CN,1563336087,42.0,38.94,100.46,71.06,7.45,71.06
61,zaranj,0.0,AF,1563336088,27.0,30.95,61.86,89.6,9.17,89.6
62,upernavik,33.0,GL,1563336088,63.0,72.79,-56.15,46.4,6.42,46.4
63,galle,100.0,GN,1563336088,99.0,10.08,-12.83,69.98,0.85,69.98
64,zyryanka,100.0,RU,1563335573,75.0,65.73,150.89,55.4,1.3,55.4
